n_estimators,tree_depth,min_samples_split,max_features,Accuracy
15,16,15,10,0.961795
15,16,15,12,0.961026
15,16,15,16,0.952821
15,16,20,2,0.721538
15,16,20,4,0.898718
15,16,20,8,0.954103
15,16,20,10,0.958974
15,16,20,12,0.956154
15,16,20,16,0.944872
15,16,25,2,0.711795
15,16,25,4,0.884615
15,16,25,8,0.95
15,16,25,10,0.950769
15,16,25,12,0.955897
15,16,25,16,0.946667
15,16,30,2,0.718718
15,16,30,4,0.888718
15,16,30,8,0.947692
15,16,30,10,0.94641
15,16,30,12,0.952564
15,16,30,16,0.935128
15,20,2,2,0.727949
15,20,2,4,0.902564
15,20,2,8,0.962308
15,20,2,10,0.967436
15,20,2,12,0.968718
15,20,2,16,0.959487
15,20,5,2,0.724103
15,20,5,4,0.910256
15,20,5,8,0.966154
15,20,5,10,0.967436
15,20,5,12,0.967949
15,20,5,16,0.961026
15,20,10,2,0.743333
15,20,10,4,0.902308
15,20,10,8,0.958974
15,20,10,10,0.961538
15,20,10,12,0.968974
15,20,10,16,0.957692
15,20,15,2,0.724615
15,20,15,4,0.908462
15,20,15,8,0.954615
15,20,15,10,0.960256
15,20,15,12,0.963333
15,20,15,16,0.954103
15,20,20,2,0.727692
15,20,20,4,0.898205
15,20,20,8,0.949744
15,20,20,10,0.957692
15,20,20,12,0.956923
15,20,20,16,0.947692
15,20,25,2,0.732051
15,20,25,4,0.897436
15,20,25,8,0.94641
15,20,25,10,0.951795
15,20,25,12,0.951282
15,20,25,16,0.940769
15,20,30,2,0.741795
15,20,30,4,0.896667
15,20,30,8,0.947692
15,20,30,10,0.950769
15,20,30,12,0.948974
15,20,30,16,0.939744
20,8,2,2,0.764359
20,8,2,4,0.894359
20,8,2,8,0.936923
20,8,2,10,0.927692
20,8,2,12,0.924615
20,8,2,16,0.911026
20,8,5,2,0.745641
20,8,5,4,0.891538
20,8,5,8,0.933077
20,8,5,10,0.932051
20,8,5,12,0.925897
20,8,5,16,0.9
20,8,10,2,0.749231
20,8,10,4,0.9
20,8,10,8,0.927179
20,8,10,10,0.93641
20,8,10,12,0.925385
20,8,10,16,0.904103
20,8,15,2,0.740256
20,8,15,4,0.894615
20,8,15,8,0.935897
20,8,15,10,0.929231
20,8,15,12,0.924872
20,8,15,16,0.903333
20,8,20,2,0.730513
20,8,20,4,0.891795
20,8,20,8,0.93
20,8,20,10,0.933846
20,8,20,12,0.92
20,8,20,16,0.897436
20,8,25,2,0.739487
20,8,25,4,0.886923
20,8,25,8,0.929487
20,8,25,10,0.93359
20,8,25,12,0.922821
20,8,25,16,0.901282
20,8,30,2,0.747949
20,8,30,4,0.887179
20,8,30,8,0.930513
20,8,30,10,0.923333
20,8,30,12,0.920513
20,8,30,16,0.885385
20,12,2,2,0.744615
20,12,2,4,0.92641
20,12,2,8,0.963846
20,12,2,10,0.967949
20,12,2,12,0.968205
20,12,2,16,0.951282
20,12,5,2,0.760513
20,12,5,4,0.921795
20,12,5,8,0.964359
20,12,5,10,0.967692
20,12,5,12,0.965897
20,12,5,16,0.957436
20,12,10,2,0.741282
20,12,10,4,0.92
20,12,10,8,0.963333
20,12,10,10,0.96641
20,12,10,12,0.963077
20,12,10,16,0.952564
20,12,15,2,0.756667
20,12,15,4,0.904103
20,12,15,8,0.957179
20,12,15,10,0.961538
20,12,15,12,0.96359
20,12,15,16,0.947692
20,12,20,2,0.747692
20,12,20,4,0.910513
20,12,20,8,0.957179
20,12,20,10,0.957692
20,12,20,12,0.960513
20,12,20,16,0.941026
20,12,25,2,0.741282
20,12,25,4,0.907179
20,12,25,8,0.949487
20,12,25,10,0.958205
20,12,25,12,0.954359
20,12,25,16,0.940256
20,12,30,2,0.76
20,12,30,4,0.904103
20,12,30,8,0.95359
20,12,30,10,0.946667
20,12,30,12,0.948718
20,12,30,16,0.936923
20,16,2,2,0.746923
20,16,2,4,0.920256
20,16,2,8,0.966667
20,16,2,10,0.971795
20,16,2,12,0.969744
20,16,2,16,0.962821
20,16,5,2,0.752051
20,16,5,4,0.921026
20,16,5,8,0.965641
20,16,5,10,0.973077
20,16,5,12,0.966923
20,16,5,16,0.960769
20,16,10,2,0.765897
20,16,10,4,0.92
20,16,10,8,0.966154
20,16,10,10,0.963333
20,16,10,12,0.967179
20,16,10,16,0.957949
20,16,15,2,0.742051
20,16,15,4,0.917436
20,16,15,8,0.963333
20,16,15,10,0.968205
20,16,15,12,0.964872
20,16,15,16,0.953077
20,16,20,2,0.755897
20,16,20,4,0.912051
20,16,20,8,0.955385
20,16,20,10,0.961026
20,16,20,12,0.958205
20,16,20,16,0.946923
20,16,25,2,0.769744
20,16,25,4,0.909487
20,16,25,8,0.95359
20,16,25,10,0.96
20,16,25,12,0.954359
20,16,25,16,0.947692
20,16,30,2,0.757179
20,16,30,4,0.911282
20,16,30,8,0.955897
20,16,30,10,0.95359
20,16,30,12,0.951026
20,16,30,16,0.944359
20,4,2,2,0.693846
20,4,2,4,0.742821
20,4,2,8,0.749487
20,4,2,10,0.741795
20,4,2,12,0.711538
